kernel_id,bx,by,bz,best_time,default_time,points,gpoints_per_s,nargs,nstencil_args,widest_radius,widest_radius_x,widest_radius_y,widest_radius_z,stencil_sig,max_threads_per_block
1,32,4,1,5.00679e-05,5.00679e-05,1331000,26.5839,2,1,0,0,0,0,"s2D_000_stride3D_x;none",1024
2,32,4,1,3.40939e-05,3.40939e-05,1331000,39.0393,2,1,0,0,0,0,"s2D_000_stride3D_y;none",1024
3,32,4,1,2.90871e-05,2.90871e-05,1331000,45.7592,2,1,0,0,0,0,"s2D_000_stride3D_z;none",1024
4,32,4,1,4.1008e-05,4.1008e-05,1157625,28.2293,3,3,0,0,0,0,"s2D_000_stride3D_x;s2D_000_stride3D_x;s2D_000_stride3D_x",1024
5,32,4,1,4.00543e-05,4.00543e-05,1157625,28.9014,3,3,0,0,0,0,"s2D_000_stride3D_y;s2D_000_stride3D_y;s2D_000_stride3D_y",1024
6,32,4,1,3.40939e-05,3.40939e-05,1157625,33.9541,3,3,0,0,0,0,"s2D_000_stride3D_z;s2D_000_stride3D_z;s2D_000_stride3D_z",1024
7,32,4,1,4.1008e-05,4.1008e-05,1146600,27.9604,3,3,1,1,0,0,"s3D_000_P100_stride3D_x;s2D_000_stride3D_x;s2D_000_stride3D_x",1024
8,32,4,1,4.22001e-05,4.22001e-05,1146600,27.1706,3,3,1,0,1,0,"s3D_000_0P10_stride3D_y;s2D_000_stride3D_y;s2D_000_stride3D_y",1024
9,32,4,1,3.19481e-05,3.19481e-05,1146600,35.8895,3,3,1,0,0,1,"s3D_000_00P1_stride3D_z;s2D_000_stride3D_z;s2D_000_stride3D_z",1024
10,32,4,1,4.00543e-05,4.00543e-05,1124864,28.0835,7,7,0,0,0,0,"0,0,0;s2D_000_stride3D_y;0,0,0;s2D_000_stride3D_x;0,0,0;s2D_000_stride3D_z;0,0,0",1024
